Accession ID	Collection date	Submission date	Location
EPI_ISL_15440614	2021-08-23	2022-10-20	South America / Brazil / Piaui
EPI_ISL_15440610	2021-08-23	2022-10-20	South America / Brazil / Piaui
EPI_ISL_15440619	2021-08-21	2022-10-20	South America / Brazil / Piaui
EPI_ISL_15440598	2021-08-19	2022-10-20	South America / Brazil / Piaui
EPI_ISL_15440615	2021-08-23	2022-10-20	South America / Brazil / Piaui
EPI_ISL_15440617	2021-06-02	2022-10-20	South America / Brazil / Piaui
EPI_ISL_15440618	2021-06-07	2022-10-20	South America / Brazil / Piaui
EPI_ISL_15440612	2021-08-23	2022-10-20	South America / Brazil / Piaui
EPI_ISL_15440608	2021-08-23	2022-10-20	South America / Brazil / Piaui
EPI_ISL_15440604	2021-08-23	2022-10-20	South America / Brazil / Piaui
EPI_ISL_15440600	2021-08-22	2022-10-20	South America / Brazil / Piaui
EPI_ISL_15440602	2021-08-22	2022-10-20	South America / Brazil / Piaui
EPI_ISL_15440603	2021-08-23	2022-10-20	South America / Brazil / Piaui
EPI_ISL_15440620	2021-08-23	2022-10-20	South America / Brazil / Piaui
EPI_ISL_15440626	2021-08-31	2022-10-20	South America / Brazil / Piaui
EPI_ISL_15440629	2021-09-17	2022-10-20	South America / Brazil / Piaui
EPI_ISL_15440625	2021-08-31	2022-10-20	South America / Brazil / Piaui
EPI_ISL_15440651	2021-08-23	2022-10-20	South America / Brazil / Piaui
EPI_ISL_15440653	2021-09-16	2022-10-20	South America / Brazil / Piaui
EPI_ISL_15440645	2021-08-23	2022-10-20	South America / Brazil / Piaui
EPI_ISL_12426492	2021-08-25	2022-04-29	South America / Brazil / Parana / Maringa
EPI_ISL_12920713	2021-06-09	2022-05-26	South America / Brazil / Mato Grosso do Sul
EPI_ISL_12920715	2021-07-14	2022-05-26	South America / Brazil / Mato Grosso do Sul
EPI_ISL_12920709	2021-05-28	2022-05-26	South America / Brazil / Mato Grosso do Sul
EPI_ISL_12920706	2021-05-26	2022-05-26	South America / Brazil / Mato Grosso do Sul
EPI_ISL_12920707	2021-05-28	2022-05-26	South America / Brazil / Mato Grosso do Sul
EPI_ISL_12920701	2021-05-20	2022-05-26	South America / Brazil / Mato Grosso do Sul
EPI_ISL_12920703	2021-05-25	2022-05-26	South America / Brazil / Mato Grosso do Sul
EPI_ISL_12920710	2021-06-01	2022-05-26	South America / Brazil / Mato Grosso do Sul
EPI_ISL_14498377	2021-06-15	2022-08-17	South America / Brazil / Espirito Santo / Vila Velha
EPI_ISL_14498244	2022-02-20	2022-08-17	South America / Brazil / Bahia / Salvador
EPI_ISL_14534452	2021-08-07	2022-08-18	South America / Brazil / Rio de Janeiro / Rio de Janeiro
EPI_ISL_14534422	2021-09-04	2022-08-18	South America / Brazil / Rio de Janeiro / Rio de Janeiro
EPI_ISL_14534257	2021-08-05	2022-08-18	South America / Brazil / Rio de Janeiro / Rio de Janeiro
EPI_ISL_13960045	2021-06-24	2022-07-20	South America / Brazil / Mato Grosso / Nova Maringa
EPI_ISL_15883521	2021-07-20	2022-11-22	South America / Brazil / Rio Grande do Norte / Messias Targino
EPI_ISL_15883523	2021-07-01	2022-11-22	South America / Brazil / Rio Grande do Norte / Natal
EPI_ISL_15883543	2021-08-04	2022-11-22	South America / Brazil / Rio Grande do Norte / Sao Paulo do Potengi
EPI_ISL_15883497	2021-06-08	2022-11-22	South America / Brazil / Rio Grande do Norte / Agua Nova
EPI_ISL_15883514	2021-06-14	2022-11-22	South America / Brazil / Rio Grande do Norte / Jose da Penha
EPI_ISL_15883501	2021-07-07	2022-11-22	South America / Brazil / Rio Grande do Norte / Caico
EPI_ISL_15883502	2021-07-08	2022-11-22	South America / Brazil / Rio Grande do Norte / Caico
EPI_ISL_15883504	2021-06-14	2022-11-22	South America / Brazil / Rio Grande do Norte / Carnaubais
EPI_ISL_15883493	2021-07-14	2022-11-22	South America / Brazil / Rio Grande do Norte / Acu
EPI_ISL_15883518	2021-08-18	2022-11-22	South America / Brazil / Rio Grande do Norte / Lajes
EPI_ISL_15883495	2021-05-29	2022-11-22	South America / Brazil / Rio Grande do Norte / Acu
EPI_ISL_15883494	2021-06-06	2022-11-22	South America / Brazil / Rio Grande do Norte / Acu
EPI_ISL_15883517	2021-06-24	2022-11-22	South America / Brazil / Rio Grande do Norte / Lagoa de Pedras
EPI_ISL_15883541	2021-06-07	2022-11-22	South America / Brazil / Rio Grande do Norte / Sao Jose do Serido
EPI_ISL_15883531	2021-07-13	2022-11-22	South America / Brazil / Rio Grande do Norte / Pau dos Ferros
EPI_ISL_15883532	2021-07-20	2022-11-22	South America / Brazil / Rio Grande do Norte / Piloes
EPI_ISL_15883516	2021-06-21	2022-11-22	South America / Brazil / Rio Grande do Norte / Jucurutu
EPI_ISL_15883539	2021-07-06	2022-11-22	South America / Brazil / Rio Grande do Norte / Sao Jose de Mipibu
EPI_ISL_15883519	2021-07-08	2022-11-22	South America / Brazil / Rio Grande do Norte / Macaiba
EPI_ISL_15883540	2021-05-29	2022-11-22	South America / Brazil / Rio Grande do Norte / Sao Jose de Mipibu
EPI_ISL_15883542	2021-06-06	2022-11-22	South America / Brazil / Rio Grande do Norte / Sao Miguel
EPI_ISL_15883545	2021-05-31	2022-11-22	South America / Brazil / Rio Grande do Norte / Taipu
EPI_ISL_15883549	2021-08-16	2022-11-22	South America / Brazil / Rio Grande do Norte / Vicosa
EPI_ISL_15883529	2021-07-23	2022-11-22	South America / Brazil / Rio Grande do Norte / Parnamirim
EPI_ISL_15883528	2021-08-09	2022-11-22	South America / Brazil / Rio Grande do Norte / Parnamirim
EPI_ISL_13017806	2021-01-24	2022-05-30	South America / Brazil / Minas Gerais / Uberaba
EPI_ISL_13017805	2021-01-24	2022-05-30	South America / Brazil / Minas Gerais / Uberaba
EPI_ISL_13017804	2021-01-24	2022-05-30	South America / Brazil / Minas Gerais / Uberaba
EPI_ISL_14614938	2021-09-04	2022-08-24	South America / Brazil / Espirito Santo / Nova Iguacu
EPI_ISL_14614932	2021-07-26	2022-08-24	South America / Brazil / Espirito Santo / Cachoeiro De Itapemirim
EPI_ISL_13046430	2021-03-29	2022-05-31	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_13046427	2021-03-27	2022-05-31	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_13046424	2021-03-20	2022-05-31	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_13046425	2021-03-24	2022-05-31	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_13046422	2021-02-24	2022-05-31	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_13046423	2021-03-17	2022-05-31	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_13046420	2021-02-21	2022-05-31	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_13046421	2021-02-24	2022-05-31	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_13046429	2021-03-16	2022-05-31	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_13046437	2021-03-04	2022-05-31	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_13046435	2021-04-01	2022-05-31	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_13046433	2021-03-29	2022-05-31	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_13046434	2021-03-30	2022-05-31	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_13046431	2021-03-30	2022-05-31	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_15457002	2021-11-30	2022-10-21	South America / Brazil / Mato Grosso do Sul / Campo Grande
EPI_ISL_14670086	2021-04-30	2022-08-26	South America / Brazil / Mato Grosso / Arenapolis
EPI_ISL_14670089	2021-05-06	2022-08-26	South America / Brazil / Mato Grosso / Cuiaba
EPI_ISL_14670090	2021-06-23	2022-08-26	South America / Brazil / Mato Grosso / Nova Sao Joaquim
EPI_ISL_14670091	2021-05-21	2022-08-26	South America / Brazil / Mato Grosso / Santa Rita do Trivelato
EPI_ISL_14670076	2021-05-06	2022-08-26	South America / Brazil / Mato Grosso / Chapada dos Guimaraes
EPI_ISL_14670078	2021-04-22	2022-08-26	South America / Brazil / Mato Grosso / Varzea Grande
EPI_ISL_14670077	2021-05-24	2022-08-26	South America / Brazil / Mato Grosso / Nova Xavantina
EPI_ISL_14670081	2021-05-15	2022-08-26	South America / Brazil / Mato Grosso / Nobres
EPI_ISL_14670080	2021-09-16	2022-08-26	South America / Brazil / Mato Grosso / Jaciara
EPI_ISL_14670082	2021-06-16	2022-08-26	South America / Brazil / Mato Grosso / Nova Brasilandia
EPI_ISL_14670085	2021-05-24	2022-08-26	South America / Brazil / Mato Grosso / Matupa
EPI_ISL_14670084	2021-05-10	2022-08-26	South America / Brazil / Mato Grosso / Santa Carmem
EPI_ISL_14670065	2021-05-20	2022-08-26	South America / Brazil / Mato Grosso / Tapurah
EPI_ISL_14670067	2021-12-01	2022-08-26	South America / Brazil / Mato Grosso / Cuiaba
EPI_ISL_14670066	2021-06-01	2022-08-26	South America / Brazil / Mato Grosso / Sinop
EPI_ISL_14670069	2021-05-10	2022-08-26	South America / Brazil / Mato Grosso / Mirassol D’Oeste
EPI_ISL_14670068	2021-05-17	2022-08-26	South America / Brazil / Mato Grosso / Campo Novo do Parecis
EPI_ISL_14670070	2021-05-20	2022-08-26	South America / Brazil / Mato Grosso / Nova Brasilandia
EPI_ISL_14670072	2021-05-27	2022-08-26	South America / Brazil / Mato Grosso / Juara
EPI_ISL_14670071	2021-05-04	2022-08-26	South America / Brazil / Mato Grosso / Lambari D’Oeste
EPI_ISL_14670073	2021-05-23	2022-08-26	South America / Brazil / Mato Grosso / Campo Novo do Parecis
EPI_ISL_14670060	2021-05-12	2022-08-26	South America / Brazil / Mato Grosso / Campos de Julio
EPI_ISL_14670063	2021-05-20	2022-08-26	South America / Brazil / Mato Grosso / Santa Carmem
EPI_ISL_14670062	2021-05-12	2022-08-26	South America / Brazil / Mato Grosso / Santa Carmem
EPI_ISL_14674984	2021-07-08	2022-08-26	South America / Brazil / Mato Grosso / Cuiaba
EPI_ISL_14674983	2021-08-04	2022-08-26	South America / Brazil / Mato Grosso / Cuiaba
EPI_ISL_14674982	2021-05-27	2022-08-26	South America / Brazil / Mato Grosso / Campo Novo do Parecis
EPI_ISL_14674988	2021-06-30	2022-08-26	South America / Brazil / Mato Grosso / Itauba
EPI_ISL_14674986	2021-05-31	2022-08-26	South America / Brazil / Mato Grosso / Dom Aquino
EPI_ISL_14674989	2021-02-26	2022-08-26	South America / Brazil / Mato Grosso / Santa Carmem
EPI_ISL_14674990	2021-07-22	2022-08-26	South America / Brazil / Mato Grosso / Campos de Julio
EPI_ISL_13082024	2021-06-16	2022-06-02	South America / Brazil / Minas Gerais / Uberlandia
EPI_ISL_13082020	2021-05-05	2022-06-02	South America / Brazil / Minas Gerais / Uberlandia
EPI_ISL_13082023	2021-06-07	2022-06-02	South America / Brazil / Minas Gerais / Araguari
EPI_ISL_13082022	2021-06-09	2022-06-02	South America / Brazil / Minas Gerais / Caldas
EPI_ISL_13082007	2021-06-03	2022-06-02	South America / Brazil / Minas Gerais / Divinopolis
EPI_ISL_13082006	2021-05-28	2022-06-02	South America / Brazil / Minas Gerais / Divinopolis
EPI_ISL_13082008	2021-05-28	2022-06-02	South America / Brazil / Minas Gerais / Divinopolis
EPI_ISL_13082005	2021-05-08	2022-06-02	South America / Brazil / Minas Gerais / Divinopolis
EPI_ISL_13082018	2021-04-30	2022-06-02	South America / Brazil / Minas Gerais / Campina Verde
EPI_ISL_13082017	2021-04-25	2022-06-02	South America / Brazil / Minas Gerais / Monte Alegre De Minas
