Accession ID	Collection date	Submission date	Location
EPI_ISL_4820611	2021-08-24	2021-10-04	South America / Brazil / Rio Grande do Sul
EPI_ISL_4600554	2021-02-11	2021-09-29	South America / Brazil / Piaui / Teresina
EPI_ISL_3912365	2021-06-06	2021-09-02	South America / Brazil / Ceara / Crato
EPI_ISL_3824274	2021-08-10	2021-08-31	South America / Brazil / Sao Paulo / Araraquara
EPI_ISL_3824285	2021-08-19	2021-08-31	South America / Brazil / Sao Paulo / Araraquara
EPI_ISL_3824323	2021-08-11	2021-08-31	South America / Brazil / Sao Paulo / Porto Ferreira
EPI_ISL_3824328	2021-08-13	2021-08-31	South America / Brazil / Sao Paulo / Araraquara
EPI_ISL_3824334	2021-08-17	2021-08-31	South America / Brazil / Sao Paulo / Rincão
EPI_ISL_3824350	2021-08-13	2021-08-31	South America / Brazil / Sao Paulo / Araraquara
EPI_ISL_3663996	2021-05-13	2021-08-25	South America / Brazil / Sao Paulo
EPI_ISL_3664054	2021-05-13	2021-08-25	South America / Brazil / Rio de Janeiro
EPI_ISL_3664077	2021-05-05	2021-08-25	South America / Brazil / Parana
EPI_ISL_3664099	2021-05-11	2021-08-25	South America / Brazil / Mato Grosso do Sul
EPI_ISL_3663891	2021-05-11	2021-08-25	South America / Brazil / Federal District
EPI_ISL_3664212	2021-05-05	2021-08-25	South America / Brazil / Rio de Janeiro
EPI_ISL_3827854	2021-07-29	2021-08-31	South America / Brazil / Para / Cameta
EPI_ISL_3827864	2021-06-19	2021-08-31	South America / Brazil / Espirito Santo / Guarapari
EPI_ISL_3827870	2021-07-28	2021-08-31	South America / Brazil / Para / Belem
EPI_ISL_3671871	2021-06-18	2021-08-25	South America / Brazil / Sao Paulo / Presidente Prudente
EPI_ISL_3671878	2021-06-28	2021-08-25	South America / Brazil / Sao Paulo / Ribeirao Pires
EPI_ISL_3671891	2021-06-14	2021-08-25	South America / Brazil / Sao Paulo / Sao Vicente
EPI_ISL_3671912	2021-03-04	2021-08-25	South America / Brazil / Mato Grosso do Sul / Angelica
EPI_ISL_3671917	2021-03-29	2021-08-25	South America / Brazil / Mato Grosso do Sul / Sidrolandia
EPI_ISL_3671918	2021-03-29	2021-08-25	South America / Brazil / Mato Grosso do Sul / Sidrolandia
EPI_ISL_3703181	2021-04-22	2021-08-26	South America / Brazil / Pernambuco / Caruaru
EPI_ISL_3703868	2021-07-02	2021-08-26	South America / Brazil / Pernambuco / Cabrobo
EPI_ISL_3704364	2021-07-19	2021-08-26	South America / Brazil / Pernambuco / Triunfo
EPI_ISL_3717863	2021-06-15	2021-08-26	South America / Brazil / Sao Paulo / Marilia
EPI_ISL_4877317	2021-07-31	2021-10-05	South America / Brazil / Sao Paulo / Braganca Paulista
EPI_ISL_4877314	2021-07-28	2021-10-05	South America / Brazil / Sao Paulo / Piracaia
EPI_ISL_4877311	2021-07-23	2021-10-05	South America / Brazil / Sao Paulo / Boa Esperanca do Sul
EPI_ISL_4877327	2021-07-23	2021-10-05	South America / Brazil / Sao Paulo / Marilia
EPI_ISL_4877324	2021-07-20	2021-10-05	South America / Brazil / Sao Paulo / Vera Cruz
EPI_ISL_4877323	2021-07-18	2021-10-05	South America / Brazil / Sao Paulo / Campos Novos Paulista
EPI_ISL_4877321	2021-08-05	2021-10-05	South America / Brazil / Sao Paulo / Braganca Paulista
EPI_ISL_4877329	2021-07-28	2021-10-05	South America / Brazil / Sao Paulo / Marilia
EPI_ISL_4877339	2021-08-06	2021-10-05	South America / Brazil / Sao Paulo / Assis
EPI_ISL_4877338	2021-08-06	2021-10-05	South America / Brazil / Sao Paulo / Santa Cruz do Rio Pardo
EPI_ISL_4877336	2021-08-04	2021-10-05	South America / Brazil / Sao Paulo / Marilia
EPI_ISL_4877335	2021-08-02	2021-10-05	South America / Brazil / Sao Paulo / Santa Cruz do Rio Pardo
EPI_ISL_4877333	2021-07-30	2021-10-05	South America / Brazil / Sao Paulo / Santa Cruz do Rio Pardo
EPI_ISL_4877332	2021-07-29	2021-10-05	South America / Brazil / Sao Paulo / Parapua
EPI_ISL_4877331	2021-07-29	2021-10-05	South America / Brazil / Sao Paulo / Santa Cruz do Rio Pardo
EPI_ISL_4877346	2021-08-13	2021-10-05	South America / Brazil / Sao Paulo / Assis
EPI_ISL_4877344	2021-08-11	2021-10-05	South America / Brazil / Sao Paulo / Ourinhos
EPI_ISL_4877343	2021-08-09	2021-10-05	South America / Brazil / Sao Paulo / Marilia
EPI_ISL_4877342	2021-08-09	2021-10-05	South America / Brazil / Sao Paulo / Marilia
EPI_ISL_4877341	2021-08-09	2021-10-05	South America / Brazil / Sao Paulo / Marilia
EPI_ISL_4877340	2021-08-09	2021-10-05	South America / Brazil / Sao Paulo / Marilia
EPI_ISL_4877299	2021-08-02	2021-10-05	South America / Brazil / Sao Paulo / Pontalinda
EPI_ISL_4877305	2021-07-10	2021-10-05	South America / Brazil / Sao Paulo / Dourado
EPI_ISL_4877304	2021-07-10	2021-10-05	South America / Brazil / Sao Paulo / Dourado
EPI_ISL_4877303	2021-07-10	2021-10-05	South America / Brazil / Sao Paulo / Dourado
EPI_ISL_4877301	2021-04-13	2021-10-05	South America / Brazil / Goias / Caldas Novas
EPI_ISL_4877300	2020-12-30	2021-10-05	South America / Brazil / Goias / Caldas Novas
EPI_ISL_4877279	2021-07-28	2021-10-05	South America / Brazil / Sao Paulo / Cosmorama
EPI_ISL_4877275	2021-07-29	2021-10-05	South America / Brazil / Sao Paulo / Pedranopolis
EPI_ISL_4877272	2021-07-30	2021-10-05	South America / Brazil / Sao Paulo / Mesopolis
EPI_ISL_4877271	2021-07-29	2021-10-05	South America / Brazil / Sao Paulo / Meridiano
EPI_ISL_4877289	2021-07-26	2021-10-05	South America / Brazil / Sao Paulo / Palestina
EPI_ISL_4877287	2021-07-24	2021-10-05	South America / Brazil / Sao Paulo / Nova Granada
EPI_ISL_4877286	2021-07-27	2021-10-05	South America / Brazil / Sao Paulo / Neves Paulista
EPI_ISL_4877285	2021-07-22	2021-10-05	South America / Brazil / Sao Paulo / Monte Aprazivel
EPI_ISL_4877284	2021-07-25	2021-10-05	South America / Brazil / Sao Paulo / Mirassolandia
EPI_ISL_4877282	2021-07-26	2021-10-05	South America / Brazil / Sao Paulo / Magda
EPI_ISL_4877290	2021-07-23	2021-10-05	South America / Brazil / Sao Paulo / Parisi
EPI_ISL_4877298	2021-07-16	2021-10-05	South America / Brazil / Sao Paulo / Valentil Gentil
EPI_ISL_4877296	2021-07-19	2021-10-05	South America / Brazil / Sao Paulo / Tabapua
