Accession ID	Collection date	Submission date	Location
EPI_ISL_1966198	2021-03-09	2021-05-08	South America / Brazil / Sao Paulo
EPI_ISL_1495037	2021-03-09	2021-04-07	South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_1495036	2021-03-12	2021-04-07	South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_1495026	2021-03-03	2021-04-07	South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_1495016	2021-03-03	2021-04-07	South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_1495014	2021-03-03	2021-04-07	South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_1495011	2021-03-05	2021-04-07	South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_1493579	2021-02-25	2021-04-06	South America / Brazil / Rondonia / Porto Velho
EPI_ISL_984619	2021-02-03	2021-02-13	South America / Brazil / Rio Grande do Sul
EPI_ISL_1494977	2021-02-26	2021-04-07	South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_1498917	2021-02-01	2021-04-07	South America / Brazil / Sao Paulo / Mirandopolis
EPI_ISL_2245185	2021-02-09	2021-05-24	South America / Brazil / Sao Paulo / Araraquara
EPI_ISL_2249397	2021-03-09	2021-05-25	South America / Brazil / Minas Gerais / Ibirite
EPI_ISL_1520129	2021-02-19	2021-04-09	South America / Brazil / Sao Paulo / Mococa
EPI_ISL_1520136	2021-02-19	2021-04-09	South America / Brazil / Sao Paulo / Mococa
EPI_ISL_1520130	2021-02-19	2021-04-09	South America / Brazil / Sao Paulo / Mococa
EPI_ISL_1533725	2021-03-03	2021-04-10	South America / Brazil / Sao Paulo / Guarulhos
EPI_ISL_1533722	2021-03-09	2021-04-10	South America / Brazil / Sao Paulo / Piracaia
EPI_ISL_1533723	2021-03-08	2021-04-10	South America / Brazil / Sao Paulo / Itaquaquecetuba
EPI_ISL_1533706	2021-02-23	2021-04-10	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_1533701	2021-02-15	2021-04-10	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_1533719	2021-03-07	2021-04-10	South America / Brazil / Sao Paulo / Holambra
EPI_ISL_1533714	2021-03-06	2021-04-10	South America / Brazil / Sao Paulo / Osasco
EPI_ISL_1533711	2021-02-24	2021-04-10	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_1533713	2021-03-08	2021-04-10	South America / Brazil / Sao Paulo / Hortolandia
EPI_ISL_1533996	2021-02-01	2021-04-10	South America / Brazil / Santa Catarina / Sao Jose
EPI_ISL_1534000	2021-02-19	2021-04-10	South America / Brazil / Parana / Londrina
EPI_ISL_1534002	2021-02-23	2021-04-10	South America / Brazil / Santa Catarina / Joinville
EPI_ISL_1534008	2021-02-26	2021-04-10	South America / Brazil / Santa Catarina / Joinville
EPI_ISL_1533690	2021-02-19	2021-04-10	South America / Brazil / Sao Paulo / Mococa
EPI_ISL_1533699	2021-02-10	2021-04-10	South America / Brazil / Sao Paulo / Biritiba Mirim
EPI_ISL_1534011	2021-03-11	2021-04-10	South America / Brazil / Rio de Janeiro / Niteroi
EPI_ISL_1534013	2021-03-15	2021-04-10	South America / Brazil / Rio Grande do Sul / Porto Xavier
EPI_ISL_1534014	2021-03-16	2021-04-10	South America / Brazil / Rio de Janeiro / Rio de Janeiro
EPI_ISL_1060991	2021-01-08	2021-02-23	South America / Brazil / Amazonas / Manaus
EPI_ISL_1067733	2021-01-23	2021-02-24	South America / Brazil / Bahia
EPI_ISL_1068261	2021-01-05	2021-02-25	South America / Brazil / Amazonas / Manaus
EPI_ISL_1068289	2021-01-05	2021-02-25	South America / Brazil / Amazonas / Presidente Figueiredo
