Accession ID	Collection date	Submission date	Location
EPI_ISL_2836985	2021-06-08	2021-07-07	South America / Brazil / Rio de Janeiro / Itaocara
EPI_ISL_2837194	2021-06-15	2021-07-07	South America / Brazil / Rio de Janeiro / Varre-Sai
EPI_ISL_2844121	2021-06-08	2021-07-08	South America / Brazil / Sao Paulo / Ribeirao Bonito
EPI_ISL_3118797	2021-03-18	2021-07-29	South America / Brazil / Sao Paulo / Porto Ferreira
EPI_ISL_3118795	2021-03-17	2021-07-29	South America / Brazil / Sao Paulo / Porto Ferreira
EPI_ISL_3118786	2021-03-10	2021-07-29	South America / Brazil / Sao Paulo / Porto Ferreira
EPI_ISL_2837289	2021-06-16	2021-07-07	South America / Brazil / Rio de Janeiro / Silva Jardim
EPI_ISL_2614538	2021-03-28	2021-06-18	South America / Brazil / Sao Paulo / Campo Limpo Paulista
EPI_ISL_3118947	2021-07-07	2021-07-29	South America / Brazil / Sao Paulo / São Carlos
EPI_ISL_3118941	2021-07-06	2021-07-29	South America / Brazil / Sao Paulo / São Carlos
EPI_ISL_3118944	2021-07-06	2021-07-29	South America / Brazil / Sao Paulo / São Carlos
EPI_ISL_3118935	2021-07-12	2021-07-29	South America / Brazil / Sao Paulo / Boa Esperança do Sul
EPI_ISL_3118934	2021-07-12	2021-07-29	South America / Brazil / Sao Paulo / Boa Esperança do Sul
EPI_ISL_3118931	2021-07-08	2021-07-29	South America / Brazil / Sao Paulo / Boa Esperança do Sul
EPI_ISL_3118916	2021-06-17	2021-07-29	South America / Brazil / Sao Paulo / Porto Ferreira
EPI_ISL_3118905	2021-06-10	2021-07-29	South America / Brazil / Sao Paulo / Porto Ferreira
EPI_ISL_3118902	2021-06-10	2021-07-29	South America / Brazil / Sao Paulo / Porto Ferreira
EPI_ISL_3118901	2021-06-09	2021-07-29	South America / Brazil / Sao Paulo / Porto Ferreira
EPI_ISL_3118886	2021-06-02	2021-07-29	South America / Brazil / Sao Paulo / Porto Ferreira
EPI_ISL_3118874	2021-06-01	2021-07-29	South America / Brazil / Sao Paulo / Porto Ferreira
EPI_ISL_3118879	2021-05-31	2021-07-29	South America / Brazil / Sao Paulo / Porto Ferreira
EPI_ISL_3118868	2021-05-31	2021-07-29	South America / Brazil / Sao Paulo / Porto Ferreira
EPI_ISL_3118859	2021-05-28	2021-07-29	South America / Brazil / Sao Paulo / Porto Ferreira
EPI_ISL_3118840	2021-05-20	2021-07-29	South America / Brazil / Sao Paulo / Porto Ferreira
EPI_ISL_3118835	2021-05-20	2021-07-29	South America / Brazil / Sao Paulo / Porto Ferreira
EPI_ISL_3118828	2021-05-19	2021-07-29	South America / Brazil / Sao Paulo / Porto Ferreira
EPI_ISL_3118816	2021-05-17	2021-07-29	South America / Brazil / Sao Paulo / Porto Ferreira
EPI_ISL_3118811	2021-03-29	2021-07-29	South America / Brazil / Sao Paulo / Porto Ferreira
EPI_ISL_3118800	2021-03-22	2021-07-29	South America / Brazil / Sao Paulo / Porto Ferreira
EPI_ISL_2614555	2021-03-30	2021-06-18	South America / Brazil / Sao Paulo / Regente Feijo
EPI_ISL_2614557	2021-03-10	2021-06-18	South America / Brazil / Sao Paulo / Alfredo Marcondes
EPI_ISL_2614582	2021-04-18	2021-06-18	South America / Brazil / Sao Paulo / Iguape
EPI_ISL_2614585	2021-04-09	2021-06-18	South America / Brazil / Sao Paulo / Suzano
EPI_ISL_2612366	2021-02-25	2021-06-18	South America / Brazil / Acre / RIO BRANCO
EPI_ISL_2612400	2021-03-16	2021-06-18	South America / Brazil / Acre / SENA MADUREIRA
EPI_ISL_2614586	2021-04-10	2021-06-18	South America / Brazil / Sao Paulo / Biritiba Mirim
EPI_ISL_2612319	2021-03-16	2021-06-18	South America / Brazil / Acre / FEIJO
EPI_ISL_2612320	2021-03-16	2021-06-18	South America / Brazil / Acre / FEIJO
EPI_ISL_2612325	2021-02-05	2021-06-18	South America / Brazil / Acre / RIO BRANCO
EPI_ISL_2612332	2021-02-11	2021-06-18	South America / Brazil / Acre / RIO BRANCO
EPI_ISL_2612339	2021-04-02	2021-06-18	South America / Brazil / Acre / RIO BRANCO
EPI_ISL_2612375	2021-03-19	2021-06-18	South America / Brazil / Acre / RIO BRANCO
EPI_ISL_2612377	2021-03-19	2021-06-18	South America / Brazil / Acre / RIO BRANCO
EPI_ISL_2612388	2021-03-29	2021-06-18	South America / Brazil / Acre / RIO BRANCO
EPI_ISL_2612391	2021-04-12	2021-06-18	South America / Brazil / Acre / RIO BRANCO
EPI_ISL_2612358	2021-01-17	2021-06-18	South America / Brazil / Acre / RIO BRANCO
EPI_ISL_2612369	2021-03-08	2021-06-18	South America / Brazil / Acre / RIO BRANCO
EPI_ISL_2612371	2021-03-08	2021-06-18	South America / Brazil / Acre / RIO BRANCO
EPI_ISL_2612374	2021-03-19	2021-06-18	South America / Brazil / Acre / RIO BRANCO
EPI_ISL_2612383	2021-03-23	2021-06-18	South America / Brazil / Acre / RIO BRANCO
EPI_ISL_2614590	2021-04-13	2021-06-18	South America / Brazil / Sao Paulo / Poa
EPI_ISL_2612385	2021-03-25	2021-06-18	South America / Brazil / Acre / RIO BRANCO
EPI_ISL_2612389	2021-03-29	2021-06-18	South America / Brazil / Acre / RIO BRANCO
EPI_ISL_2612401	2021-04-04	2021-06-18	South America / Brazil / Acre / SENA MADUREIRA
EPI_ISL_2614598	2021-04-19	2021-06-18	South America / Brazil / Sao Paulo / Mairipora
EPI_ISL_2614592	2021-04-12	2021-06-18	South America / Brazil / Sao Paulo / Osasco
EPI_ISL_2613809	2021-05-24	2021-06-18	South America / Brazil / Parana / CAMPO DO TENENTE
EPI_ISL_2613812	2021-05-26	2021-06-18	South America / Brazil / Parana / SAO JOSE DOS PINHAIS
EPI_ISL_2613816	2021-04-12	2021-06-18	South America / Brazil / Parana / APUCARANA
EPI_ISL_2613820	2021-04-14	2021-06-18	South America / Brazil / Parana / ARAPONGAS
EPI_ISL_2613821	2021-04-14	2021-06-18	South America / Brazil / Parana / ARAPONGAS
EPI_ISL_2613822	2021-04-14	2021-06-18	South America / Brazil / Parana / ARAPONGAS
EPI_ISL_2613823	2021-04-15	2021-06-18	South America / Brazil / Parana / ARAPONGAS
EPI_ISL_2613818	2021-04-13	2021-06-18	South America / Brazil / Parana / APUCARANA
EPI_ISL_2614601	2021-04-18	2021-06-18	South America / Brazil / Sao Paulo / Taboao da Serra
EPI_ISL_2614257	2021-02-19	2021-06-18	South America / Brazil / Rio de Janeiro / RIO DE JANEIRO
EPI_ISL_2614268	2021-02-19	2021-06-18	South America / Brazil / Rio de Janeiro / RIO DE JANEIRO
EPI_ISL_2614269	2021-02-20	2021-06-18	South America / Brazil / Rio de Janeiro / RIO DE JANEIRO
EPI_ISL_2614276	2021-02-22	2021-06-18	South America / Brazil / Rio de Janeiro / RIO DE JANEIRO
EPI_ISL_2614289	2021-02-22	2021-06-18	South America / Brazil / Rio de Janeiro / RIO DE JANEIRO
EPI_ISL_2614369	2021-03-22	2021-06-18	South America / Brazil / Rio de Janeiro / RIO DE JANEIRO
EPI_ISL_2614298	2021-02-26	2021-06-18	South America / Brazil / Rio de Janeiro / RIO DE JANEIRO
EPI_ISL_2614380	2021-03-30	2021-06-18	South America / Brazil / Rio de Janeiro / IGUABA GRANDE
EPI_ISL_2614326	2021-03-12	2021-06-18	South America / Brazil / Rio de Janeiro / RIO DE JANEIRO
EPI_ISL_2614344	2021-03-24	2021-06-18	South America / Brazil / Rio de Janeiro / RIO DE JANEIRO
EPI_ISL_2614350	2021-03-25	2021-06-18	South America / Brazil / Rio de Janeiro / RIO DE JANEIRO
EPI_ISL_2614609	2021-03-04	2021-06-18	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_2614615	2021-04-05	2021-06-18	South America / Brazil / Sao Paulo / Regente Feijo
EPI_ISL_2614078	2021-02-18	2021-06-18	South America / Brazil / Rio de Janeiro / RIO DE JANEIRO
EPI_ISL_2614518	2021-03-16	2021-06-18	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_2614628	2021-04-20	2021-06-18	South America / Brazil / Sao Paulo / Santa Cruz do Rio Pardo
EPI_ISL_2614550	2021-03-23	2021-06-18	South America / Brazil / Sao Paulo / Regente Feijo
EPI_ISL_3134550	2021-04-20	2021-07-30	South America / Brazil / Pernambuco / Caruaru
EPI_ISL_3134556	2021-04-22	2021-07-30	South America / Brazil / Pernambuco / Caruaru
EPI_ISL_3134555	2021-04-22	2021-07-30	South America / Brazil / Pernambuco / Caruaru
EPI_ISL_3134576	2021-05-01	2021-07-30	South America / Brazil / Pernambuco / Caruaru
EPI_ISL_3134575	2021-04-30	2021-07-30	South America / Brazil / Pernambuco / Limoeiro
EPI_ISL_3134570	2021-04-29	2021-07-30	South America / Brazil / Pernambuco / Caruaru
EPI_ISL_3134558	2021-04-26	2021-07-30	South America / Brazil / Pernambuco / Surubim
EPI_ISL_3134557	2021-04-25	2021-07-30	South America / Brazil / Pernambuco / Caruaru
EPI_ISL_3134563	2021-04-27	2021-07-30	South America / Brazil / Pernambuco / Caruaru
EPI_ISL_3134562	2021-04-27	2021-07-30	South America / Brazil / Pernambuco / Caruaru
EPI_ISL_3134565	2021-04-28	2021-07-30	South America / Brazil / Pernambuco / Gravata
EPI_ISL_3134564	2021-04-27	2021-07-30	South America / Brazil / Pernambuco / Caruaru
EPI_ISL_3134561	2021-04-26	2021-07-30	South America / Brazil / Pernambuco / Lagoa Do Carro
EPI_ISL_2617889	2021-05	2021-06-20	South America / Brazil / Rio Grande do Sul
EPI_ISL_3134604	2021-05-04	2021-07-30	South America / Brazil / Pernambuco / Caruaru
EPI_ISL_3134603	2021-05-04	2021-07-30	South America / Brazil / Pernambuco / Caruaru
EPI_ISL_3134600	2021-05-04	2021-07-30	South America / Brazil / Pernambuco / Caruaru
EPI_ISL_3134602	2021-05-04	2021-07-30	South America / Brazil / Pernambuco / Caruaru
EPI_ISL_3134601	2021-05-04	2021-07-30	South America / Brazil / Pernambuco / Caruaru
EPI_ISL_3134608	2021-05-04	2021-07-30	South America / Brazil / Pernambuco / Caruaru
EPI_ISL_3134607	2021-05-04	2021-07-30	South America / Brazil / Pernambuco / Caruaru
EPI_ISL_3134609	2021-05-03	2021-07-30	South America / Brazil / Pernambuco / Garanhuns
EPI_ISL_3134615	2021-05-07	2021-07-30	South America / Brazil / Pernambuco / Caruaru
EPI_ISL_3134614	2021-05-07	2021-07-30	South America / Brazil / Pernambuco / Caruaru
EPI_ISL_3134611	2021-05-06	2021-07-30	South America / Brazil / Pernambuco / Caruaru
EPI_ISL_3134613	2021-05-06	2021-07-30	South America / Brazil / Pernambuco / Caruaru
EPI_ISL_3134620	2021-05-06	2021-07-30	South America / Brazil / Pernambuco / Caruaru
